Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
201,1659004646022,28/07/2022 10:37:26,1659004645995,1,28/07/2022 11:37:25,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,9,26,6,IsTrue,button,timelimit_screen,199.93499999999767,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
202,1659004647021,28/07/2022 10:37:27,1659004646996,1,28/07/2022 11:37:26,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,27,1,Screen 1,button,timelimit_screen,1000.1169999999984,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
203,1659004648014,28/07/2022 10:37:28,1659004647995,1,28/07/2022 11:37:27,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,27,2,Screen 2,button,timelimit_screen,1000.0819999999949,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
204,1659004649221,28/07/2022 10:37:29,1659004649196,1,28/07/2022 11:37:29,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,27,3,TEST,gosignal,gonogo,1199.9200000000128,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
205,1659004649422,28/07/2022 10:37:29,1659004649395,1,28/07/2022 11:37:29,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,27,6,IsTrue,button,timelimit_screen,200.10499999998137,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
206,1659004650415,28/07/2022 10:37:30,1659004650395,1,28/07/2022 11:37:30,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,17,24,1,Screen 1,button,timelimit_screen,1000.1030000000028,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
207,1659004651424,28/07/2022 10:37:31,1659004651396,1,28/07/2022 11:37:31,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,17,24,2,Screen 2,button,timelimit_screen,1000.0260000000126,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
208,1659004652237,28/07/2022 10:37:32,1659004652212,1,28/07/2022 11:37:32,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,17,24,3,TEST,Zone1,response_keyboard_single,807.0999999996275,,,Left,1,1,0,0,,,,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
209,1659004652823,28/07/2022 10:37:32,1659004652796,1,28/07/2022 11:37:32,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,17,24,6,IsTrue,button,timelimit_screen,199.98600000000442,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
210,1659004653827,28/07/2022 10:37:33,1659004653796,1,28/07/2022 11:37:33,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,8,25,1,Screen 1,button,timelimit_screen,999.9180000000051,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,150,Left_go.png,NoGo
211,1659004654823,28/07/2022 10:37:34,1659004654797,1,28/07/2022 11:37:34,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,8,25,2,Screen 2,button,timelimit_screen,999.9150000000081,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,150,Left_go.png,NoGo
212,1659004655552,28/07/2022 10:37:35,1659004655523,1,28/07/2022 11:37:35,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,8,25,3,TEST,Zone1,response_keyboard_single,718.1000000005588,,,Left,1,1,0,0,,,,,1,taskGo,Left_go.png,Left,150,Left_go.png,NoGo
